"source","target","value"
"S-Segmentation","S-Skull_stripping",0
"F-Exclusion","S-Skull_stripping",1
"F-Concatenate_Runs","S-Skull_stripping",0
"F-Removal_Init_Vol","S-Skull_stripping",0
"F-Skull_extraction","S-Skull_stripping",0
"F-Alignment/Head_motion_est","S-Skull_stripping",4
"F-Despiking","S-Skull_stripping",0
"F-Scrubbing","S-Skull_stripping",0
"F-Interpolate","S-Skull_stripping",0
"F-Slice_timing_correction","S-Skull_stripping",0
"F-Field_map_correction","S-Skull_stripping",0
"F-Unwarp","S-Skull_stripping",0
"F-Combined_echos","S-Skull_stripping",0
"F-Intensity_normalization","S-Skull_stripping",0
"F-Grand_mean_scaling","S-Skull_stripping",0
"F-Coregistration","S-Skull_stripping",1
"F-Spatial_normalization","S-Skull_stripping",1
"F-Spatial_smooth","S-Skull_stripping",0
"F-Extract_regressors","S-Skull_stripping",0
"F-surface","S-Skull_stripping",0
"F-RETROICOR","S-Skull_stripping",0
"F-RVHRCOR","S-Skull_stripping",0
"F-ANATICOR","S-Skull_stripping",0
"F-PESTICA","S-Skull_stripping",0
"F-CompCor","S-Skull_stripping",0
"F-tCompCor","S-Skull_stripping",0
"F-aCompCor","S-Skull_stripping",0
"F-ME_ICA","S-Skull_stripping",0
"F-ArtRepair","S-Skull_stripping",0
"F-Temporal_detrending","S-Skull_stripping",0
"F-Global_signal","S-Skull_stripping",0
"F-ICA_FIX","S-Skull_stripping",0
"F-ICA_AROMA","S-Skull_stripping",0
"F-Temporal_filt","S-Skull_stripping",0
"F-motion_regression","S-Skull_stripping",0
"F-Other_confound_regression","S-Skull_stripping",0
"F-PhysIO","S-Skull_stripping",0
"F-Regressors_filter","S-Skull_stripping",0
"F-Modular_filter_motion","S-Skull_stripping",0
"F-wavelet_decomposition","S-Skull_stripping",0
"Atlas_definition","S-Skull_stripping",0
"Time_series_ROI","S-Skull_stripping",0
"ROI_definition","S-Skull_stripping",0
"Combine_block","S-Skull_stripping",0
"Compute_connectivity","S-Skull_stripping",0
"Connectivity_normalization","S-Skull_stripping",0
"Network_definition","S-Skull_stripping",0
"Graph_characteristics","S-Skull_stripping",0
"Negative_correlation","S-Skull_stripping",0
"Sparsity_control","S-Skull_stripping",0
"Graph_measures","S-Skull_stripping",0
"Result_aggregation","S-Skull_stripping",0
"Software","S-Spatial_normalization",2
"S-INU_correction","S-Spatial_normalization",0
"S-Denoised","S-Spatial_normalization",0
"S-Gradient_Distortion_Correction","S-Spatial_normalization",0
"S-Fuse_conform","S-Spatial_normalization",0
"S-Skull_stripping","S-Spatial_normalization",4
"S-Spatial_normalization","S-Spatial_normalization",0
"S-BBR_crossmodal_registration","S-Spatial_normalization",0
"S-Surface_reconstruction","S-Spatial_normalization",0
"S-Segmentation","S-Spatial_normalization",31
"F-Exclusion","S-Spatial_normalization",1
"F-Concatenate_Runs","S-Spatial_normalization",0
"F-Removal_Init_Vol","S-Spatial_normalization",1
"F-Skull_extraction","S-Spatial_normalization",0
"F-Alignment/Head_motion_est","S-Spatial_normalization",1
"F-Despiking","S-Spatial_normalization",0
"F-Scrubbing","S-Spatial_normalization",0
"F-Interpolate","S-Spatial_normalization",0
"F-Slice_timing_correction","S-Spatial_normalization",0
"F-Field_map_correction","S-Spatial_normalization",0
"F-Unwarp","S-Spatial_normalization",0
"F-Combined_echos","S-Spatial_normalization",0
"F-Intensity_normalization","S-Spatial_normalization",0
"F-Grand_mean_scaling","S-Spatial_normalization",0
"F-Coregistration","S-Spatial_normalization",36
"F-Spatial_normalization","S-Spatial_normalization",1
"F-Spatial_smooth","S-Spatial_normalization",0
"F-Extract_regressors","S-Spatial_normalization",0
"F-surface","S-Spatial_normalization",0
"F-RETROICOR","S-Spatial_normalization",0
"F-RVHRCOR","S-Spatial_normalization",0
"F-ANATICOR","S-Spatial_normalization",0
"F-PESTICA","S-Spatial_normalization",0
"F-CompCor","S-Spatial_normalization",0
"F-tCompCor","S-Spatial_normalization",0
"F-aCompCor","S-Spatial_normalization",0
"F-ME_ICA","S-Spatial_normalization",0
"F-ArtRepair","S-Spatial_normalization",0
"F-Temporal_detrending","S-Spatial_normalization",0
"F-Global_signal","S-Spatial_normalization",0
"F-ICA_FIX","S-Spatial_normalization",0
"F-ICA_AROMA","S-Spatial_normalization",0
"F-Temporal_filt","S-Spatial_normalization",0
"F-motion_regression","S-Spatial_normalization",0
"F-Other_confound_regression","S-Spatial_normalization",2
"F-PhysIO","S-Spatial_normalization",0
"F-Regressors_filter","S-Spatial_normalization",0
"F-Modular_filter_motion","S-Spatial_normalization",0
"F-wavelet_decomposition","S-Spatial_normalization",0
"Atlas_definition","S-Spatial_normalization",0
"Time_series_ROI","S-Spatial_normalization",0
"ROI_definition","S-Spatial_normalization",0
"Combine_block","S-Spatial_normalization",0
"Compute_connectivity","S-Spatial_normalization",0
"Connectivity_normalization","S-Spatial_normalization",0
"Network_definition","S-Spatial_normalization",0
"Graph_characteristics","S-Spatial_normalization",0
"Negative_correlation","S-Spatial_normalization",0
"Sparsity_control","S-Spatial_normalization",0
"Graph_measures","S-Spatial_normalization",0
"Result_aggregation","S-Spatial_normalization",0
"Software","S-BBR_crossmodal_registration",0
"S-INU_correction","S-BBR_crossmodal_registration",0
"S-Denoised","S-BBR_crossmodal_registration",0
"S-Gradient_Distortion_Correction","S-BBR_crossmodal_registration",0
"S-Fuse_conform","S-BBR_crossmodal_registration",0
"S-Skull_stripping","S-BBR_crossmodal_registration",20
"S-Spatial_normalization","S-BBR_crossmodal_registration",0
"S-BBR_crossmodal_registration","S-BBR_crossmodal_registration",0
"S-Surface_reconstruction","S-BBR_crossmodal_registration",0
"S-Segmentation","S-BBR_crossmodal_registration",0
"F-Exclusion","S-BBR_crossmodal_registration",0
"F-Concatenate_Runs","S-BBR_crossmodal_registration",0
"F-Removal_Init_Vol","S-BBR_crossmodal_registration",0
"F-Skull_extraction","S-BBR_crossmodal_registration",0
"F-Alignment/Head_motion_est","S-BBR_crossmodal_registration",0
"F-Despiking","S-BBR_crossmodal_registration",0
"F-Scrubbing","S-BBR_crossmodal_registration",0
"F-Interpolate","S-BBR_crossmodal_registration",0
"F-Slice_timing_correction","S-BBR_crossmodal_registration",0
"F-Field_map_correction","S-BBR_crossmodal_registration",0
"F-Unwarp","S-BBR_crossmodal_registration",0
"F-Combined_echos","S-BBR_crossmodal_registration",0
"F-Intensity_normalization","S-BBR_crossmodal_registration",0
"F-Grand_mean_scaling","S-BBR_crossmodal_registration",0
"F-Coregistration","S-BBR_crossmodal_registration",0
"F-Spatial_normalization","S-BBR_crossmodal_registration",0
"F-Spatial_smooth","S-BBR_crossmodal_registration",0
"F-Extract_regressors","S-BBR_crossmodal_registration",0
"F-surface","S-BBR_crossmodal_registration",0
"F-RETROICOR","S-BBR_crossmodal_registration",0
"F-RVHRCOR","S-BBR_crossmodal_registration",0
"F-ANATICOR","S-BBR_crossmodal_registration",0
"F-PESTICA","S-BBR_crossmodal_registration",0
"F-CompCor","S-BBR_crossmodal_registration",0
"F-tCompCor","S-BBR_crossmodal_registration",0
"F-aCompCor","S-BBR_crossmodal_registration",0
"F-ME_ICA","S-BBR_crossmodal_registration",0
"F-ArtRepair","S-BBR_crossmodal_registration",0
"F-Temporal_detrending","S-BBR_crossmodal_registration",0
"F-Global_signal","S-BBR_crossmodal_registration",0
"F-ICA_FIX","S-BBR_crossmodal_registration",0
"F-ICA_AROMA","S-BBR_crossmodal_registration",0
"F-Temporal_filt","S-BBR_crossmodal_registration",0
"F-motion_regression","S-BBR_crossmodal_registration",0
"F-Other_confound_regression","S-BBR_crossmodal_registration",0
"F-PhysIO","S-BBR_crossmodal_registration",0
"F-Regressors_filter","S-BBR_crossmodal_registration",0
"F-Modular_filter_motion","S-BBR_crossmodal_registration",0
"F-wavelet_decomposition","S-BBR_crossmodal_registration",0
"Atlas_definition","S-BBR_crossmodal_registration",0
"Time_series_ROI","S-BBR_crossmodal_registration",0
"ROI_definition","S-BBR_crossmodal_registration",0
"Combine_block","S-BBR_crossmodal_registration",0
"Compute_connectivity","S-BBR_crossmodal_registration",0
"Connectivity_normalization","S-BBR_crossmodal_registration",0
"Network_definition","S-BBR_crossmodal_registration",0
"Graph_characteristics","S-BBR_crossmodal_registration",0
"Negative_correlation","S-BBR_crossmodal_registration",0
"Sparsity_control","S-BBR_crossmodal_registration",0
"Graph_measures","S-BBR_crossmodal_registration",0
"Result_aggregation","S-BBR_crossmodal_registration",0
"Software","S-Surface_reconstruction",0
"S-INU_correction","S-Surface_reconstruction",0
"S-Denoised","S-Surface_reconstruction",0
"S-Gradient_Distortion_Correction","S-Surface_reconstruction",0
"S-Fuse_conform","S-Surface_reconstruction",0
"S-Skull_stripping","S-Surface_reconstruction",1
"S-Spatial_normalization","S-Surface_reconstruction",0
"S-BBR_crossmodal_registration","S-Surface_reconstruction",0
"S-Surface_reconstruction","S-Surface_reconstruction",0
"S-Segmentation","S-Surface_reconstruction",1
"F-Exclusion","S-Surface_reconstruction",0
"F-Concatenate_Runs","S-Surface_reconstruction",0
"F-Removal_Init_Vol","S-Surface_reconstruction",0
