Starting multiverse analysis for all universes...
Subject 82/100 done. Global efficiency: 0.23744484495458992
Subject 83/100 done. Global efficiency: 0.25105626068437203
Subject 84/100 done. Global efficiency: 0.23285314327816012
Subject 85/100 done. Global efficiency: 0.3154931700663315
Subject 86/100 done. Global efficiency: 0.26244510652571873
Subject 87/100 done. Global efficiency: 0.19705043343582523
Subject 88/100 done. Global efficiency: 0.21921691950265496
Subject 89/100 done. Global efficiency: 0.2310220138443984
Subject 90/100 done. Global efficiency: 0.16707779632440456
Subject 91/100 done. Global efficiency: 0.3038138747330287
Subject 92/100 done. Global efficiency: 0.21980502163077484
Subject 93/100 done. Global efficiency: 0.19359325664643767
Subject 94/100 done. Global efficiency: 0.32130502267853156
Subject 95/100 done. Global efficiency: 0.1610842197988182
Subject 96/100 done. Global efficiency: 0.2740642007450409
Subject 97/100 done. Global efficiency: 0.19732323012209102
Subject 98/100 done. Global efficiency: 0.29748770473805086
Subject 99/100 done. Global efficiency: 0.25473827973375507
Subject 100/100 done. Global efficiency: 0.15857064409622015
Subject 1/100 done. Global efficiency: 0.3990185499731137
Subject 2/100 done. Global efficiency: 0.41505095743195797
Subject 3/100 done. Global efficiency: 0.29524901523141867
Subject 4/100 done. Global efficiency: 0.38103953369125254
Subject 5/100 done. Global efficiency: 0.45906217802917715
Subject 6/100 done. Global efficiency: 0.35636102873536885
Subject 7/100 done. Global efficiency: 0.2753531044573714
Subject 8/100 done. Global efficiency: 0.40467864557678584
Subject 9/100 done. Global efficiency: 0.3115588835788864
Subject 10/100 done. Global efficiency: 0.2937114001966422
Subject 11/100 done. Global efficiency: 0.334105197205581
Subject 12/100 done. Global efficiency: 0.2965661936160409
Subject 13/100 done. Global efficiency: 0.29461425798874746
Subject 14/100 done. Global efficiency: 0.4663014347434247
Subject 15/100 done. Global efficiency: 0.40204483395692003
Subject 16/100 done. Global efficiency: 0.3410687703151959
Subject 17/100 done. Global efficiency: 0.34502211865273513
Subject 18/100 done. Global efficiency: 0.3269859796319554
Subject 19/100 done. Global efficiency: 0.39048702428951104
Subject 20/100 done. Global efficiency: 0.3449747452414659
Subject 21/100 done. Global efficiency: 0.3755239164313594
Subject 22/100 done. Global efficiency: 0.37075773095104375
Subject 23/100 done. Global efficiency: 0.33993822844643873
Subject 24/100 done. Global efficiency: 0.3321714429391637
Subject 25/100 done. Global efficiency: 0.3446966968325072
Subject 26/100 done. Global efficiency: 0.38820102027971587
Subject 27/100 done. Global efficiency: 0.42641280755179267
Subject 28/100 done. Global efficiency: 0.27362152117865973
